VA Station Number,Services,Satisfaction,Wait Times
vha_402HL,[],{},[]
vha_402QA,[],{},[]
vha_402QB,[],{},[]
vha_405,"['Audiology', 'Cardiology', 'Dermatology', 'EmergencyCare', 'Gastroenterology', 'Gynecology', 'MentalHealthCare', 'Nutrition', 'Ophthalmology', 'Optometry', 'Orthopedics', 'Podiatry', 'PrimaryCare', 'SpecialtyCare', 'Urology', 'WomensHealth']","{'primary_care_urgent': 0.8899999856948853, 'primary_care_routine': 0.9399999976158142, 'specialty_care_urgent': 0.9700000286102295, 'specialty_care_routine': 0.9700000286102295}","[{'service': 'Audiology', 'new': 2.0, 'established': 3.0}, {'service': 'Cardiology', 'new': 15.076923, 'established': 13.478873}, {'service': 'Dermatology', 'new': 35.923076, 'established': 14.347457}, {'service': 'Gastroenterology', 'new': 8.5, 'established': 15.545454}, {'service': 'Gynecology', 'new': 33.125, 'established': 15.439024}, {'service': 'MentalHealthCare', 'new': 3.166666, 'established': 0.533333}, {'service': 'Ophthalmology', 'new': None, 'established': 33.333333}, {'service': 'Optometry', 'new': 5.205479, 'established': 7.519097}, {'service': 'Orthopedics', 'new': 20.026315, 'established': 18.89947}, {'service': 'PrimaryCare', 'new': 10.6875, 'established': 6.35264}, {'service': 'SpecialtyCare', 'new': 18.188764, 'established': 14.012581}, {'service': 'Urology', 'new': 14.103448, 'established': 10.532258}, {'service': 'WomensHealth', 'new': 12.333333, 'established': 13.323529}]"
vha_405GA,"['Dermatology', 'MentalHealthCare', 'PrimaryCare', 'SpecialtyCare', 'Urology']","{'primary_care_urgent': 0.8899999856948853, 'primary_care_routine': 0.9599999785423279}","[{'service': 'Dermatology', 'new': 15.666666, 'established': None}, {'service': 'MentalHealthCare', 'new': 8.0, 'established': 0.285714}, {'service': 'PrimaryCare', 'new': 5.0, 'established': 2.208955}, {'service': 'SpecialtyCare', 'new': 15.666666, 'established': 0.0}, {'service': 'Urology', 'new': None, 'established': 0.0}]"
vha_405GC,"['Audiology', 'MentalHealthCare', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.7699999809265137, 'primary_care_routine': 0.9399999976158142}","[{'service': 'Audiology', 'new': 13.461538, 'established': 5.851851}, {'service': 'MentalHealthCare', 'new': 15.0, 'established': 0.068965}, {'service': 'PrimaryCare', 'new': 9.333333, 'established': 0.232558}, {'service': 'SpecialtyCare', 'new': 13.461538, 'established': 5.851851}]"
vha_405HA,"['Audiology', 'Cardiology', 'MentalHealthCare', 'Optometry', 'Podiatry', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.9700000286102295, 'primary_care_routine': 0.8899999856948853}","[{'service': 'Audiology', 'new': 25.234042, 'established': 11.264705}, {'service': 'Cardiology', 'new': 24.0, 'established': 16.0}, {'service': 'MentalHealthCare', 'new': 5.0, 'established': 0.849246}, {'service': 'Optometry', 'new': 70.727272, 'established': 21.861538}, {'service': 'PrimaryCare', 'new': 15.882352, 'established': 12.96448}, {'service': 'SpecialtyCare', 'new': 29.75, 'established': 16.606896}]"
vha_405HC,"['Audiology', 'Dermatology', 'MentalHealthCare', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.9800000190734863, 'primary_care_routine': 0.9900000095367432}","[{'service': 'Audiology', 'new': 31.192307, 'established': 34.333333}, {'service': 'Dermatology', 'new': 3.111111, 'established': None}, {'service': 'MentalHealthCare', 'new': None, 'established': 0.166666}, {'service': 'PrimaryCare', 'new': 10.75, 'established': 8.384615}, {'service': 'SpecialtyCare', 'new': 23.775, 'established': 30.025}]"
vha_405HE,"['MentalHealthCare', 'PrimaryCare', 'SpecialtyCare', 'Urology']",{'primary_care_routine': 0.9399999976158142},"[{'service': 'MentalHealthCare', 'new': None, 'established': 0.027777}, {'service': 'PrimaryCare', 'new': None, 'established': 0.981818}, {'service': 'SpecialtyCare', 'new': 35.0, 'established': 38.75}, {'service': 'Urology', 'new': 35.0, 'established': None}]"
vha_405HF,"['Dermatology', 'MentalHealthCare', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.8899999856948853, 'primary_care_routine': 0.9399999976158142}","[{'service': 'Dermatology', 'new': 6.0, 'established': None}, {'service': 'MentalHealthCare', 'new': 6.0, 'established': 0.4}, {'service': 'PrimaryCare', 'new': 13.4, 'established': 2.875}, {'service': 'SpecialtyCare', 'new': 6.0, 'established': 19.8}]"
vha_405QB,"['MentalHealthCare', 'PrimaryCare', 'SpecialtyCare', 'Urology']",{},"[{'service': 'MentalHealthCare', 'new': 14.0, 'established': 0.703703}, {'service': 'PrimaryCare', 'new': 2.0, 'established': 2.447058}, {'service': 'SpecialtyCare', 'new': 28.0, 'established': 14.0}, {'service': 'Urology', 'new': 28.0, 'established': None}]"
vha_436,"['Audiology', 'DentalServices', 'Dermatology', 'EmergencyCare', 'Gastroenterology', 'Gynecology', 'MentalHealthCare', 'Nutrition', 'Ophthalmology', 'Orthopedics', 'Podiatry', 'PrimaryCare', 'SpecialtyCare', 'Urology']","{'primary_care_urgent': 0.7699999809265137, 'primary_care_routine': 0.8600000143051147, 'specialty_care_urgent': 0.7099999785423279}","[{'service': 'Audiology', 'new': 16.333333, 'established': 3.666666}, {'service': 'Dermatology', 'new': 62.137931, 'established': 25.213114}, {'service': 'Gastroenterology', 'new': 3.0, 'established': 0.0}, {'service': 'Gynecology', 'new': 19.6875, 'established': 5.052631}, {'service': 'MentalHealthCare', 'new': 8.307692, 'established': 2.470852}, {'service': 'Ophthalmology', 'new': 36.384615, 'established': 24.678082}, {'service': 'Orthopedics', 'new': 50.457627, 'established': 27.68421}, {'service': 'PrimaryCare', 'new': 26.818181, 'established': 7.40806}, {'service': 'SpecialtyCare', 'new': 36.646258, 'established': 18.679925}, {'service': 'Urology', 'new': 34.702702, 'established': 12.4375}]"
vha_436A4,"['MentalHealthCare', 'Nutrition', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.7799999713897705, 'primary_care_routine': 0.6399999856948853}","[{'service': 'MentalHealthCare', 'new': None, 'established': 0.0}, {'service': 'PrimaryCare', 'new': 20.0, 'established': 1.707142}, {'service': 'SpecialtyCare', 'new': 9.0, 'established': 3.666666}]"
vha_436GA,"['Dermatology', 'MentalHealthCare', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.8700000047683716, 'primary_care_routine': 0.9200000166893005}","[{'service': 'Dermatology', 'new': 2.4, 'established': 0.0}, {'service': 'MentalHealthCare', 'new': 0.0, 'established': 0.125}, {'service': 'PrimaryCare', 'new': 45.733333, 'established': 5.991354}, {'service': 'SpecialtyCare', 'new': 2.4, 'established': 4.0}]"
vha_436GB,"['Audiology', 'Dermatology', 'MentalHealthCare', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.9200000166893005, 'primary_care_routine': 0.8799999952316284}","[{'service': 'Audiology', 'new': 38.666666, 'established': 14.424242}, {'service': 'Dermatology', 'new': 60.333333, 'established': None}, {'service': 'MentalHealthCare', 'new': 3.166666, 'established': 3.207547}, {'service': 'PrimaryCare', 'new': 33.827586, 'established': 2.950949}, {'service': 'SpecialtyCare', 'new': 40.833333, 'established': 15.809523}]"
vha_436GC,"['Audiology', 'Dermatology', 'MentalHealthCare', 'Nutrition', 'PrimaryCare', 'SpecialtyCare', 'Urology']","{'primary_care_urgent': 0.8299999833106995, 'primary_care_routine': 0.9200000166893005}","[{'service': 'Audiology', 'new': 3.391304, 'established': 0.588235}, {'service': 'Dermatology', 'new': 119.8, 'established': 0.0}, {'service': 'MentalHealthCare', 'new': 3.68, 'established': 2.461224}, {'service': 'PrimaryCare', 'new': 12.965517, 'established': 2.780455}, {'service': 'SpecialtyCare', 'new': 16.55, 'established': 3.39834}, {'service': 'Urology', 'new': 29.125, 'established': 5.611111}]"
vha_436GD,"['Dermatology', 'MentalHealthCare', 'Ophthalmology', 'PrimaryCare', 'SpecialtyCare']",{'primary_care_routine': 0.8700000047683716},"[{'service': 'Dermatology', 'new': 7.666666, 'established': 4.0}, {'service': 'MentalHealthCare', 'new': 0.0, 'established': 1.145833}, {'service': 'Ophthalmology', 'new': 29.5, 'established': 35.0}, {'service': 'PrimaryCare', 'new': 20.461538, 'established': 6.367265}, {'service': 'SpecialtyCare', 'new': 25.166666, 'established': 26.9375}]"
vha_436GF,"['Audiology', 'Dermatology', 'MentalHealthCare', 'Nutrition', 'Ophthalmology', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.7400000095367432, 'primary_care_routine': 0.8700000047683716}","[{'service': 'Audiology', 'new': 3.4, 'established': 0.0}, {'service': 'Dermatology', 'new': 67.111111, 'established': 4.666666}, {'service': 'MentalHealthCare', 'new': 11.5, 'established': 3.392265}, {'service': 'Ophthalmology', 'new': 40.75, 'established': 46.689655}, {'service': 'PrimaryCare', 'new': 15.857142, 'established': 1.118437}, {'service': 'SpecialtyCare', 'new': 35.102564, 'established': 32.0}]"
vha_436GH,"['Audiology', 'Cardiology', 'DentalServices', 'Dermatology', 'Gynecology', 'MentalHealthCare', 'Ophthalmology', 'Orthopedics', 'Podiatry', 'SpecialtyCare', 'Urology']",{},"[{'service': 'Audiology', 'new': 77.105263, 'established': 29.118705}, {'service': 'Cardiology', 'new': None, 'established': 8.2}, {'service': 'Dermatology', 'new': 19.8125, 'established': 7.0}, {'service': 'Gynecology', 'new': 17.0, 'established': 8.0}, {'service': 'MentalHealthCare', 'new': 3.8, 'established': 2.111111}, {'service': 'Ophthalmology', 'new': 108.545454, 'established': 46.648275}, {'service': 'Orthopedics', 'new': 51.046511, 'established': 10.202531}, {'service': 'SpecialtyCare', 'new': 45.381877, 'established': 17.112156}, {'service': 'Urology', 'new': 32.387096, 'established': 9.8}]"
vha_436GI,"['Dermatology', 'MentalHealthCare', 'PrimaryCare', 'SpecialtyCare']",{'primary_care_routine': 0.8999999761581421},"[{'service': 'Dermatology', 'new': 0.0, 'established': None}, {'service': 'MentalHealthCare', 'new': None, 'established': 0.0}, {'service': 'PrimaryCare', 'new': 13.0, 'established': 4.430379}, {'service': 'SpecialtyCare', 'new': 2.333333, 'established': 2.5}]"
vha_436GK,"['Dermatology', 'MentalHealthCare', 'PrimaryCare', 'SpecialtyCare']",{},"[{'service': 'Dermatology', 'new': 2.5, 'established': None}, {'service': 'MentalHealthCare', 'new': 7.5, 'established': 2.285714}, {'service': 'PrimaryCare', 'new': 10.5, 'established': 1.125}, {'service': 'SpecialtyCare', 'new': 2.5, 'established': 10.0}]"
vha_436GL,"['Dermatology', 'MentalHealthCare', 'PrimaryCare', 'SpecialtyCare']",{'primary_care_routine': 0.6299999952316284},"[{'service': 'Dermatology', 'new': 2.333333, 'established': None}, {'service': 'MentalHealthCare', 'new': None, 'established': 0.0}, {'service': 'PrimaryCare', 'new': 3.0, 'established': 1.378947}, {'service': 'SpecialtyCare', 'new': 2.333333, 'established': None}]"
vha_436GM,"['MentalHealthCare', 'PrimaryCare', 'SpecialtyCare']",{'primary_care_routine': 0.8700000047683716},"[{'service': 'MentalHealthCare', 'new': None, 'established': 0.0}, {'service': 'PrimaryCare', 'new': 23.714285, 'established': 4.592592}, {'service': 'SpecialtyCare', 'new': 8.333333, 'established': 0.882352}]"
vha_436GN,"['Nutrition', 'PrimaryCare', 'SpecialtyCare']",{},"[{'service': 'PrimaryCare', 'new': 20.016666, 'established': 7.868164}, {'service': 'SpecialtyCare', 'new': 26.916666, 'established': 12.592592}]"
vha_436HC,"['MentalHealthCare', 'PrimaryCare', 'SpecialtyCare']",{'primary_care_routine': 0.8399999737739563},"[{'service': 'MentalHealthCare', 'new': None, 'established': 7.612903}, {'service': 'PrimaryCare', 'new': 0.0, 'established': 9.288659}, {'service': 'SpecialtyCare', 'new': None, 'established': 22.666666}]"
vha_436QA,"['Dermatology', 'MentalHealthCare', 'PrimaryCare', 'SpecialtyCare']",{},"[{'service': 'Dermatology', 'new': 14.5, 'established': None}, {'service': 'MentalHealthCare', 'new': None, 'established': 6.666666}, {'service': 'PrimaryCare', 'new': 68.0, 'established': 4.097674}, {'service': 'SpecialtyCare', 'new': 14.5, 'established': 1.0}]"
vha_436QB,"['MentalHealthCare', 'PrimaryCare', 'SpecialtyCare']",{},"[{'service': 'MentalHealthCare', 'new': 0.0, 'established': 0.0}, {'service': 'PrimaryCare', 'new': 44.5, 'established': 5.75}, {'service': 'SpecialtyCare', 'new': 41.0, 'established': 0.0}]"
vha_436QC,[],{},[]
vha_436QD,[],{},[]
vha_437,"['Audiology', 'Cardiology', 'DentalServices', 'Dermatology', 'EmergencyCare', 'Gynecology', 'MentalHealthCare', 'Nutrition', 'Ophthalmology', 'Optometry', 'Orthopedics', 'Podiatry', 'PrimaryCare', 'SpecialtyCare', 'Urology']","{'primary_care_urgent': 0.8199999928474426, 'primary_care_routine': 0.9100000262260437, 'specialty_care_urgent': 0.8199999928474426}","[{'service': 'Audiology', 'new': 20.874458, 'established': 6.747292}, {'service': 'Cardiology', 'new': 65.5, 'established': 23.598615}, {'service': 'Dermatology', 'new': 21.933333, 'established': 30.285714}, {'service': 'Gynecology', 'new': 46.666666, 'established': 6.857142}, {'service': 'MentalHealthCare', 'new': 14.266666, 'established': 5.687882}, {'service': 'Ophthalmology', 'new': 29.1, 'established': 12.0}, {'service': 'Optometry', 'new': 21.195312, 'established': 11.528985}, {'service': 'Orthopedics', 'new': 25.150943, 'established': 11.123595}, {'service': 'PrimaryCare', 'new': 17.180722, 'established': 8.421448}, {'service': 'SpecialtyCare', 'new': 24.12784, 'established': 14.610144}, {'service': 'Urology', 'new': 32.169014, 'established': 9.4}]"
vha_437GA,"['Audiology', 'Cardiology', 'MentalHealthCare', 'PrimaryCare', 'SpecialtyCare']",{'primary_care_routine': 0.9599999785423279},"[{'service': 'Audiology', 'new': None, 'established': 0.666666}, {'service': 'Cardiology', 'new': None, 'established': 0.0}, {'service': 'MentalHealthCare', 'new': 19.0, 'established': 0.0}, {'service': 'PrimaryCare', 'new': 13.25, 'established': 3.219298}, {'service': 'SpecialtyCare', 'new': None, 'established': 0.4}]"
vha_437GB,"['Audiology', 'Cardiology', 'Dermatology', 'MentalHealthCare', 'Nutrition', 'Orthopedics', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.8899999856948853, 'primary_care_routine': 0.9700000286102295}","[{'service': 'Audiology', 'new': 114.075471, 'established': 30.820895}, {'service': 'Cardiology', 'new': 1.666666, 'established': 2.0}, {'service': 'Dermatology', 'new': 6.0, 'established': None}, {'service': 'MentalHealthCare', 'new': 27.0, 'established': 2.437086}, {'service': 'Orthopedics', 'new': None, 'established': 0.0}, {'service': 'PrimaryCare', 'new': 11.0, 'established': 1.077586}, {'service': 'SpecialtyCare', 'new': 98.492063, 'established': 25.361445}]"
vha_437GC,"['Audiology', 'Cardiology', 'Dermatology', 'MentalHealthCare', 'Orthopedics', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.9100000262260437, 'primary_care_routine': 0.9599999785423279}","[{'service': 'Audiology', 'new': 38.0, 'established': 9.4}, {'service': 'Cardiology', 'new': 3.0, 'established': None}, {'service': 'Dermatology', 'new': 1.0, 'established': None}, {'service': 'MentalHealthCare', 'new': 12.333333, 'established': 0.172413}, {'service': 'Orthopedics', 'new': None, 'established': 0.0}, {'service': 'PrimaryCare', 'new': 11.0, 'established': 1.276923}, {'service': 'SpecialtyCare', 'new': 10.454545, 'established': 4.272727}]"
vha_437GD,"['Audiology', 'Cardiology', 'Dermatology', 'MentalHealthCare', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.8199999928474426, 'primary_care_routine': 0.949999988079071}","[{'service': 'Audiology', 'new': 21.5, 'established': 6.333333}, {'service': 'Cardiology', 'new': None, 'established': 0.0}, {'service': 'Dermatology', 'new': 2.0, 'established': None}, {'service': 'MentalHealthCare', 'new': 13.214285, 'established': 0.589743}, {'service': 'PrimaryCare', 'new': 17.055555, 'established': 6.838624}, {'service': 'SpecialtyCare', 'new': 17.666666, 'established': 3.125}]"
vha_437GE,"['Audiology', 'Cardiology', 'MentalHealthCare', 'Orthopedics', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.7900000214576721, 'primary_care_routine': 0.9700000286102295}","[{'service': 'Audiology', 'new': 13.5, 'established': 1.230769}, {'service': 'Cardiology', 'new': 3.0, 'established': 0.0}, {'service': 'MentalHealthCare', 'new': 25.333333, 'established': 0.813953}, {'service': 'Orthopedics', 'new': 14.0, 'established': None}, {'service': 'PrimaryCare', 'new': 12.2, 'established': 2.0738}, {'service': 'SpecialtyCare', 'new': 7.76923, 'established': 0.85}]"
vha_437GF,"['Audiology', 'Cardiology', 'MentalHealthCare', 'PrimaryCare', 'SpecialtyCare']",{'primary_care_routine': 0.9800000190734863},"[{'service': 'Audiology', 'new': 8.5, 'established': None}, {'service': 'Cardiology', 'new': 5.0, 'established': None}, {'service': 'MentalHealthCare', 'new': 13.333333, 'established': 2.222222}, {'service': 'PrimaryCare', 'new': 11.166666, 'established': 5.840425}, {'service': 'SpecialtyCare', 'new': 11.8, 'established': 46.0}]"
vha_437GI,"['Audiology', 'Cardiology', 'Dermatology', 'MentalHealthCare', 'Orthopedics', 'PrimaryCare', 'SpecialtyCare']",{'primary_care_routine': 0.9700000286102295},"[{'service': 'Audiology', 'new': 17.333333, 'established': 0.611111}, {'service': 'Cardiology', 'new': 1.0, 'established': None}, {'service': 'Dermatology', 'new': 1.6, 'established': None}, {'service': 'MentalHealthCare', 'new': 15.8, 'established': 0.49367}, {'service': 'Orthopedics', 'new': None, 'established': 0.75}, {'service': 'PrimaryCare', 'new': 20.578947, 'established': 2.567901}, {'service': 'SpecialtyCare', 'new': 11.25, 'established': 0.586206}]"
vha_437GJ,"['Audiology', 'Cardiology', 'Dermatology', 'MentalHealthCare', 'PrimaryCare', 'SpecialtyCare']",{'primary_care_routine': 0.9900000095367432},"[{'service': 'Audiology', 'new': 5.5, 'established': 15.0}, {'service': 'Cardiology', 'new': 0.0, 'established': 0.0}, {'service': 'Dermatology', 'new': 5.0, 'established': 0.0}, {'service': 'MentalHealthCare', 'new': 14.333333, 'established': 0.0}, {'service': 'PrimaryCare', 'new': 23.538461, 'established': 1.75}, {'service': 'SpecialtyCare', 'new': 6.0, 'established': 6.142857}]"
vha_437GK,"['Audiology', 'MentalHealthCare', 'Orthopedics', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.9599999785423279, 'primary_care_routine': 0.9800000190734863}","[{'service': 'Audiology', 'new': 6.5, 'established': 0.0}, {'service': 'MentalHealthCare', 'new': 11.0, 'established': 0.590909}, {'service': 'Orthopedics', 'new': None, 'established': 0.0}, {'service': 'PrimaryCare', 'new': 0.5, 'established': 0.558558}, {'service': 'SpecialtyCare', 'new': 6.5, 'established': 0.0}]"
vha_437GL,"['Audiology', 'Cardiology', 'MentalHealthCare', 'PrimaryCare', 'SpecialtyCare']",{'primary_care_routine': 1.0},"[{'service': 'Audiology', 'new': 14.0, 'established': 0.0}, {'service': 'Cardiology', 'new': 0.0, 'established': 0.0}, {'service': 'MentalHealthCare', 'new': 8.0, 'established': 0.5}, {'service': 'PrimaryCare', 'new': 7.4, 'established': 1.615384}, {'service': 'SpecialtyCare', 'new': 6.0, 'established': 0.0}]"
vha_437QA,[],{},[]
vha_438,"['Audiology', 'Cardiology', 'DentalServices', 'Dermatology', 'EmergencyCare', 'Gastroenterology', 'Gynecology', 'MentalHealthCare', 'Nutrition', 'Ophthalmology', 'Optometry', 'Orthopedics', 'Podiatry', 'PrimaryCare', 'SpecialtyCare', 'Urology', 'WomensHealth']","{'primary_care_urgent': 0.7099999785423279, 'primary_care_routine': 0.9200000166893005, 'specialty_care_urgent': 0.75}","[{'service': 'Audiology', 'new': 15.787581, 'established': 10.674418}, {'service': 'Cardiology', 'new': 15.26, 'established': 11.75}, {'service': 'Dermatology', 'new': 25.435897, 'established': 14.7}, {'service': 'Gastroenterology', 'new': 24.166666, 'established': 6.757575}, {'service': 'Gynecology', 'new': 31.125, 'established': 5.680555}, {'service': 'MentalHealthCare', 'new': 11.111111, 'established': 4.30174}, {'service': 'Ophthalmology', 'new': 7.0, 'established': 5.728813}, {'service': 'Optometry', 'new': 17.981308, 'established': 5.474048}, {'service': 'Orthopedics', 'new': 23.436363, 'established': 10.873646}, {'service': 'PrimaryCare', 'new': 31.393442, 'established': 4.294773}, {'service': 'SpecialtyCare', 'new': 16.143352, 'established': 9.25509}, {'service': 'Urology', 'new': 19.541666, 'established': 5.279527}, {'service': 'WomensHealth', 'new': 27.0, 'established': 4.779411}]"
vha_438GA,"['Audiology', 'Cardiology', 'Dermatology', 'Gastroenterology', 'MentalHealthCare', 'Nutrition', 'PrimaryCare', 'SpecialtyCare']","{'primary_care_urgent': 0.9399999976158142, 'primary_care_routine': 0.9700000286102295}","[{'service': 'Audiology', 'new': 10.361111, 'established': 4.148148}, {'service': 'Cardiology', 'new': 2.333333, 'established': None}, {'service': 'Dermatology', 'new': None, 'established': 8.5}, {'service': 'Gastroenterology', 'new': None, 'established': 17.0}, {'service': 'MentalHealthCare', 'new': None, 'established': 1.816666}, {'service': 'PrimaryCare', 'new': 20.142857, 'established': 5.032388}, {'service': 'SpecialtyCare', 'new': 8.981132, 'established': 4.048543}]"
